zotero_key,title,authors,journal,year,doi,zotero_pdf_attached,zotero_si_attached,da_extracted,ca_extracted,external_repo,priority,ingest_status,review_status
E3YAM65W,Using life cycle assessment to drive innovation for sustainable cool clouds,Alissa et al.,Nature,2025,,,,false,false,,3,candidate,unreviewed
34H9D3IR,Quantifying the global eco-footprint of wearable healthcare electronics,Yang et al.,Nature,2026,,,,false,false,,3,candidate,unreviewed
T5W8LVA9,Accelerating the energy transition towards photovoltaic and wind in China,Wang et al.,Nature,2023,10.1038/s41586-023-06180-8,true,true,true,true,true,1,ingested,reviewed
B6LNILBU,Quantifying the cost savings of global solar photovoltaic supply chains,Helveston et al.,Nature,2022,,,,false,false,,3,candidate,unreviewed
H998SFTH,Reduced carbon emission estimates from fossil fuel combustion and cement production in China,Liu et al.,Nature,2015,10.1038/nature14677,false,false,true,true,false,1,ingested,reviewed
954UBPKS,Probabilistic projections of global wind and solar power growth based on historical national experience,Jakhmola et al.,Nature Energy,2026,,,,false,false,,3,candidate,unreviewed
TRTZSIT4,Implications of the solar rebound effect for the European energy transition,Delic & Bucksteeg,Nature Energy,2026,,,,false,false,,3,candidate,unreviewed
SY7VWU9R,Probabilistic projections of global wind and solar power growth based on historical national experience (dup),Jakhmola et al.,Nature Energy,2026,,,,false,false,,3,candidate,unreviewed
KWNBZ8FA,AI data centres as grid-interactive assets,Colangelo et al.,Nature Energy,2026,,,,false,false,,3,candidate,unreviewed
NHVW42A8,Techno-economic analysis of renewable fuels for ships carrying bulk cargo in Europe,Stolz et al.,Nature Energy,2022,,,,false,false,,3,candidate,unreviewed
LRWK3V6Z,Impact of declining renewable energy costs on electrification in low-emission scenarios,Luderer et al.,Nature Energy,2022,,,,false,false,,3,candidate,unreviewed
MPRPQ8ST,Nuclear power and renewable energy are both associated with national decarbonization,Fell et al.,Nature Energy,2022,,,,false,false,,3,candidate,unreviewed
I6QTZQA6,Linking solar and wind power in eastern Africa with operation of the Grand Ethiopian Renaissance Dam,Sterl et al.,Nature Energy,2021,,,,false,false,,3,candidate,unreviewed
KB4RTYE6,Multifaceted drivers for onshore wind energy repowering and their implications for energy transition,Kitzing et al.,Nature Energy,2020,,,,false,false,,3,candidate,unreviewed
YV253LLT,Scenicness assessment of onshore wind sites with geotagged photographs and impacts on approval and cost-efficiency,McKenna et al.,Nature Energy,2021,,,,false,false,,3,candidate,unreviewed
88VSKGCN,Impacts of climate change on energy systems in global and regional scenarios,Yalew et al.,Nature Energy,2020,,,,false,false,,3,candidate,unreviewed
